h5 |  | Our Vision | 40 | 1825 | 116 | 36 | Switzer | 24px | 500 | 36px | normal | rgb(8, 11, 15) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(8, 11, 15) | none | 1 | normal | block | none | none | fill | visible | static
div | Vision Text | To create a modern real estate experience where fi | 40 | 1867 | 310 | 90 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | flex | none | none | fill | visible | relative
p |  | To create a modern real estate experience where fi | 40 | 1867 | 310 | 90 | Switzer | 15px | 500 | 22.5px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
section | TRUST & CONFIDENCE | TRUST & CONFIDENCE Confidence behind every propert | 0 | 2017 | 390 | 2001 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 40px 0px | 0px none rgb(0, 0, 0) | none | 1 | 10px | flex | none | none | fill | visible | relative
div | Container | TRUST & CONFIDENCE Confidence behind every propert | 0 | 2057 | 390 | 1921 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px 20px | 0px none rgb(0, 0, 0) | none | 1 | 64px | flex | none | none | fill | visible | relative
div | Heading Wrapper | TRUST & CONFIDENCE Confidence behind every propert | 20 | 2057 | 350 | 165 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 18px | flex | none | none | fill | visible | relative
div | Title Wrapper | TRUST & CONFIDENCE Confidence behind every propert | 20 | 2057 | 350 | 102 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 16px | flex | none | none | fill | visible | relative
div | Metrics Tag | TRUST & CONFIDENCE | 20 | 2057 | 149 | 19 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | block | none | none | fill | visible | relative
div | Dark | TRUST & CONFIDENCE | 20 | 2057 | 149 | 19 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 7px | flex | none | none | fill | visible | relative
div | Icon Wrapper |  | 20 | 2060 | 13 | 13 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 10px | 3px | 0px none rgb(0, 0, 0) | none | 1 | 10px | flex | none | none | fill | visible | relative
div | Dot |  | 23 | 2063 | 7 | 7 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgb(75, 91, 99) | 10px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | block | none | none | fill | clip | relative
p |  | TRUST & CONFIDENCE | 40 | 2057 | 129 | 19 | Switzer | 12px | 400 | 19.2px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
div | Metrics Tag Text | Confidence behind every property decision | 20 | 2092 | 350 | 67 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | flex | none | none | fill | visible | relative
h3 |  | Confidence behind every property decision | 20 | 2092 | 350 | 67 | Switzer | 28px | 600 | 33.6px | normal | rgb(8, 11, 15) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(8, 11, 15) | none | 1 | normal | block | none | none | fill | visible | static
div | Metrics Description Text | Built to make modern home discovery simple, transp | 20 | 2177 | 350 | 45 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | flex | none | none | fill | visible | relative
p |  | Built to make modern home discovery simple, transp | 20 | 2177 | 350 | 45 | Switzer | 15px | 500 | 22.5px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
div | Vistiq Benefits | Real Results Total Value $ 4 . 6 M + Active Homes  | 20 | 2286 | 350 | 1691 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | block | none | none | fill | visible | relative
div | Mobile | Real Results Total Value $ 4 . 6 M + Active Homes  | 20 | 2286 | 350 | 1691 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 12px | flex | none | none | fill | visible | relative
div | Grid | Real Results Total Value $ 4 . 6 M + Active Homes  | 20 | 2286 | 350 | 1691 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 12px | flex | none | none | fill | visible | relative
div | Bentos Stack | Real Results Total Value $ 4 . 6 M + Active Homes  | 20 | 2286 | 350 | 788 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 12px | flex | none | none | fill | visible | relative
div | Real Results | Real Results Total Value $ 4 . 6 M + Active Homes  | 20 | 2286 | 350 | 534 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgb(246, 246, 246) | 20px | 15px | 0px none rgb(0, 0, 0) | none | 1 | 6px | flex | none | none | fill | hidden | relative
div | Header Content | Real Results | 35 | 2301 | 320 | 27 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 18px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 24px | flex | none | none | fill | hidden | relative
h6 |  | Real Results | 35 | 2301 | 320 | 27 | Switzer | 18px | 500 | 27px | normal | rgb(25, 25, 25) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(25, 25, 25) | none | 1 | normal | block | none | none | fill | visible | static
div | Statistics Stack | Total Value $ 4 . 6 M + Active Homes 3 2 0 + Happy | 35 | 2334 | 320 | 471 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 12px | flex | none | none | fill | visible | relative
div | Default | Total Value $ 4 . 6 M + | 35 | 2334 | 320 | 149 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgb(255, 255, 255) | 12px | 24px | 0px none rgb(0, 0, 0) | none | 1 | normal | flex | none | none | fill | hidden | relative
p |  | Total Value | 59 | 2358 | 272 | 22 | Switzer | 14px | 500 | 22.4px | normal | rgb(38, 38, 38) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(38, 38, 38) | none | 1 | normal | block | none | none | fill | visible | static
div | Default | Active Homes 3 2 0 + | 35 | 2495 | 320 | 149 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgb(255, 255, 255) | 12px | 24px | 0px none rgb(0, 0, 0) | none | 1 | normal | flex | none | none | fill | hidden | relative
p |  | Active Homes | 59 | 2519 | 272 | 22 | Switzer | 14px | 500 | 22.4px | normal | rgb(38, 38, 38) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(38, 38, 38) | none | 1 | normal | block | none | none | fill | visible | static
div | Default | Happy Clients 9 8 % | 35 | 2656 | 320 | 149 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgb(255, 255, 255) | 12px | 24px | 0px none rgb(0, 0, 0) | none | 1 | normal | flex | none | none | fill | hidden | relative
p |  | Happy Clients | 59 | 2680 | 272 | 22 | Switzer | 14px | 500 | 22.4px | normal | rgb(38, 38, 38) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(38, 38, 38) | none | 1 | normal | block | none | none | fill | visible | static
div | Feel the Difference | Built for Better Living We do more than list homes | 20 | 2832 | 350 | 242 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgb(246, 246, 246) | 24px | 40px 20px | 0px none rgb(0, 0, 0) | none | 1 | 48px | flex | none | none | fill | hidden | relative
img |  | Architectural rendering of a contemporary dark hou | 20 | 2832 | 350 | 242 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | block | none | none | cover | clip | static | https://framerusercontent.com/images/g2f5kGpjo90woC6PDiMZlxyN0w.png?width=2000&height=1634 | 2000x1634
div | Content Top | Built for Better Living We do more than list homes | 40 | 2872 | 310 | 70 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 5px | flex | none | none | fill | visible | relative
h6 |  | Built for Better Living | 40 | 2872 | 310 | 27 | Switzer | 18px | 500 | 27px | normal | rgb(25, 25, 25) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(25, 25, 25) | none | 1 | normal | block | none | none | fill | visible | static
p |  | We do more than list homes - we create a smoother  | 40 | 2904 | 310 | 38 | Switzer | 12px | 400 | 19.2px | normal | rgb(75, 91, 99) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(75, 91, 99) | none | 1 | normal | block | none | none | fill | visible | static
a | Main/Black | Contact Us | 133 | 2991 | 124 | 44 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 238) | rgb(8, 11, 15) | 12px | 8px 8px 8px 16px | 0px none rgb(0, 0, 238) | none | 1 | 12px | flex | rgba(0, 0, 0, 0.2) 0px 5px 15px 0px | none | fill | visible | relative
div | Contact us | Contact Us | 149 | 3003 | 60 | 19 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 238) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 238) | none | 1 | normal | flex | none | none | fill | visible | relative
p |  | Contact Us | 149 | 3003 | 60 | 19 | Switzer | 12px | 400 | 19.2px | normal | rgb(255, 255, 255) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(255, 255, 255) | none | 1 | normal | block | none | none | fill | visible | static
div | Arrow |  | 221 | 2999 | 28 | 28 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 238) | rgb(255, 255, 255) | 8px | 0px | 0px none rgb(0, 0, 238) | none | 1 | 4px | flex | none | none | fill | hidden | relative
